21:38:16.159 -> -1
21:38:16.159 -> 778
21:38:16.159 -> 810
21:38:16.159 -> 797
21:38:16.159 -> 710
21:38:16.159 -> 745
21:38:16.159 -> -1
21:38:16.159 -> 778
21:38:16.159 -> 808
21:38:16.159 -> 797
21:38:16.159 -> 710
21:38:16.159 -> 745
21:38:16.159 -> -1
21:38:16.159 -> 777
21:38:16.159 -> 809
21:38:16.159 -> 795
21:38:16.159 -> 710
21:38:16.159 -> 745
21:38:16.159 -> -1
21:38:16.159 -> 778
21:38:16.159 -> 808
21:38:16.159 -> 796
21:38:16.159 -> 709
21:38:16.159 -> 745
21:38:16.159 -> -1
21:38:16.159 -> 779
21:38:16.159 -> 808
21:38:16.159 -> 796
21:38:16.159 -> 709
21:38:16.159 -> 745
21:38:16.159 -> -1
21:38:16.159 -> 778
21:38:16.159 -> 809
21:38:16.159 -> 796
21:38:16.159 -> 711
21:38:16.159 -> 746
21:38:16.159 -> -1
21:38:16.159 -> 777
21:38:16.159 -> 808
21:38:16.159 -> 797
21:38:16.159 -> 710
21:38:16.159 -> 746
21:38:16.159 -> -1
21:38:16.159 -> 778
21:38:16.159 -> 809
21:38:16.159 -> 797
21:38:16.159 -> 710
21:38:16.159 -> 745
21:38:16.159 -> -1
21:38:16.159 -> 778
21:38:16.159 -> 809
21:38:16.159 -> 796
21:38:16.159 -> 708
21:38:16.159 -> 746
21:38:16.181 -> -1
21:38:16.181 -> 779
21:38:16.181 -> 809
21:38:16.181 -> 797
21:38:16.181 -> 712
21:38:16.181 -> 746
21:38:16.181 -> -1
21:38:16.181 -> 778
21:38:16.181 -> 809
21:38:16.181 -> 797
21:38:16.181 -> 711
21:38:16.181 -> 747
21:38:16.181 -> -1
21:38:16.181 -> 778
21:38:16.181 -> 809
21:38:16.181 -> 797
21:38:16.181 -> 711
21:38:16.181 -> 746
21:38:16.181 -> -1
21:38:16.181 -> 778
21:38:16.181 -> 809
21:38:16.181 -> 797
21:38:16.181 -> 711
21:38:16.181 -> 747
21:38:16.181 -> -1
21:38:16.181 -> 778
21:38:16.181 -> 809
21:38:16.181 -> 798
21:38:16.181 -> 710
21:38:16.181 -> 745
21:38:16.188 -> -1
21:38:16.188 -> 778
21:38:16.188 -> 810
