4.48207,0,0,0,0,0,-0.03,-0.99,0.15,-1.12,-2.1,-0.35,Bending Angle
4.47847,0.00321,0,-0.00625,0,-0.00108,-0.04,-0.99,0.15,-0.98,-2.17,-0.28,°
4.47757,0.00214,-0.00744,-0.02183,-0.01489,0.00217,-0.04,-0.99,0.14,-0.91,-1.68,0.14,△R/R
4.47709,0.00643,-0.00107,-0.01561,-0.00213,-0.00108,-0.04,-0.99,0.14,-0.63,-1.47,0.14,
4.47473,0.00214,-0.00107,0.00313,-0.00213,-0.01824,-0.04,-0.99,0.15,-0.56,-1.12,0.28,
4.47625,-0.00639,-0.01062,-0.00625,-0.02123,0,-0.04,-0.98,0.15,-0.63,-1.47,0.42,
4.47739,-0.00426,-0.01483,-0.02183,-0.02966,-0.00539,-0.05,-0.98,0.15,-0.35,-1.68,0.77,
4.47481,-0.00957,-0.01062,-0.00625,-0.02123,-0.00539,-0.05,-0.99,0.16,-0.07,-1.68,0.84,
4.48145,-0.01379,-0.02216,-0.02183,-0.04432,0.0076,-0.05,-1,0.16,0.07,-1.89,1.05,
4.49089,-0.00213,-0.00426,-0.00938,-0.00852,-0.00539,-0.05,-1,0.15,-0.49,-2.17,1.12,
4.50315,0.00643,-0.01167,-0.01561,-0.02334,-0.00324,-0.05,-0.99,0.16,-0.7,-2.66,1.33,
4.5073,-0.00107,-0.01378,-0.02493,-0.02755,-0.00432,-0.06,-0.99,0.15,-0.35,-2.87,1.33,
4.51675,-0.00957,-0.0085,-0.03112,-0.017,-0.00324,-0.05,-0.99,0.15,-0.21,-2.38,1.33,
4.51361,0,-0.01062,-0.03422,-0.02123,-0.00539,-0.05,-0.99,0.16,0,-2.66,1.47,
4.51627,-0.00533,-0.01378,-0.03422,-0.02755,-0.00108,-0.06,-0.99,0.16,-0.35,-2.24,1.33,
4.52747,0.00428,-0.00956,-0.01561,-0.01912,-0.01076,-0.06,-0.99,0.16,-0.35,-1.68,1.33,
4.53957,-0.00107,-0.01272,-0.03112,-0.02545,0,-0.05,-0.99,0.16,0,-2.1,1.4,
4.54524,-0.0032,-0.01062,-0.02803,-0.02123,-0.00216,-0.05,-0.99,0.16,-0.35,-2.38,1.54,
4.55921,-0.00851,-0.02216,-0.06188,-0.04432,-0.00539,-0.05,-0.99,0.16,-0.77,-2.73,1.47,
4.56294,-0.01168,-0.01798,-0.05576,-0.03595,-0.00862,-0.06,-0.98,0.16,-0.63,-3.22,1.54,
4.56181,-0.01379,-0.0085,-0.01561,-0.017,-0.01076,-0.06,-0.99,0.15,-0.14,-3.01,1.61,
4.57141,-0.00426,-0.01483,-0.02183,-0.02966,-0.00862,-0.06,-0.99,0.16,-0.35,-2.87,1.47,
4.57273,-0.00957,-0.01483,-0.03731,-0.02966,-0.00969,-0.06,-0.99,0.16,-0.42,-2.87,1.33,
4.56788,-0.00957,-0.01588,-0.03112,-0.03176,0,-0.07,-0.99,0.16,-0.63,-3.15,1.19,
4.56457,-0.01695,-0.02632,-0.06188,-0.05265,-0.00969,-0.07,-0.99,0.15,-0.63,-2.45,0.91,
4.56599,-0.01168,-0.02112,-0.03112,-0.04223,-0.00647,-0.07,-0.99,0.15,-0.42,-1.54,0.84,
4.57308,-0.01379,-0.01798,-0.03112,-0.03595,-0.00647,-0.06,-0.99,0.16,-0.63,-1.4,0.56,
4.57028,-0.01274,-0.01062,-0.04347,-0.02123,-0.00108,-0.06,-0.99,0.16,-0.7,-1.89,0.63,
4.57095,0.00107,-0.01062,-0.01561,-0.02123,-0.01183,-0.06,-0.99,0.16,-0.56,-2.31,0.63,
4.57507,-0.00745,-0.02424,-0.01249,-0.04849,-0.00108,-0.06,-0.99,0.17,-0.7,-2.52,0.49,
4.56931,-0.0159,-0.01693,-0.02493,-0.03386,-0.00539,-0.07,-0.99,0.17,-1.12,-2.52,0.14,
4.56923,-0.01274,-0.01272,-0.03731,-0.02545,-0.01397,-0.07,-0.99,0.16,-1.33,-2.66,0.07,
4.56068,-0.0032,-0.01902,-0.03422,-0.03805,-0.00969,-0.07,-0.99,0.17,-1.47,-2.87,-0.14,
4.55284,0,-0.00956,-0.03112,-0.01912,-0.00432,-0.08,-0.99,0.18,-1.68,-2.52,-0.49,
4.54214,-0.00533,-0.01272,-0.04962,-0.02545,-0.01183,-0.07,-0.98,0.18,-2.1,-3.01,-1.05,
4.5163,-0.01379,-0.0232,-0.03112,-0.0464,0.00433,-0.07,-0.98,0.18,-2.31,-4.27,-1.26,
4.48853,-0.00957,-0.00956,-0.00625,-0.01912,-0.00539,-0.08,-0.98,0.18,-2.8,-5.04,-1.75,
4.4785,-0.00213,-0.01483,-0.03112,-0.02966,-0.01183,-0.08,-0.99,0.19,-2.94,-5.6,-2.17,
4.45906,-0.00957,-0.01483,-0.05269,-0.02966,-0.00862,-0.08,-1,0.2,-3.57,-7.7,-2.8,
4.45146,-0.0032,-0.01693,-0.04962,-0.03386,0.00433,-0.08,-1.01,0.21,-5.81,-9.73,-4.55,
4.44061,0.00967,-0.0085,-0.00938,-0.017,-0.00216,-0.1,-1,0.21,-7.35,-9.94,-4.34,
4.418,-0.00213,-0.00744,0.00941,-0.01489,0,-0.11,-0.99,0.21,-7.98,-11.06,-4.97,
4.39734,0.00321,-0.00956,0.01255,-0.01912,0.00108,-0.12,-1,0.22,-7.91,-13.37,-5.67,
4.39926,0.01075,-0.00213,0.00941,-0.00426,0.00651,-0.14,-1,0.21,-8.89,-14,-7.07,
