S1,S2,S3,S4,S5,ax,ay,az,gx,gy,gz,Time
-0.030619999999999998,-0.01064,0.006520000000000001,-0.014430000000000002,-0.00562,-0.06,-0.97,0.22,-1.75,-4.76,2.1,0.0
-0.02436,-0.01486,0.00325,-0.006679999999999999,-0.012329999999999999,-0.06,-0.97,0.23,-1.96,-5.81,2.38,0.01
-0.03374,-0.01169,0.0057,-0.007790000000000001,-0.0011300000000000001,-0.06,-0.97,0.23,-2.1,-6.23,2.73,0.02
-0.029580000000000002,-0.01169,0.0008119999999999999,-0.013319999999999999,-0.00225,-0.06,-0.97,0.22,-1.96,-6.16,2.59,0.03
-0.02331,-0.00852,0.008159999999999999,0.0,-0.00225,-0.04,-0.98,0.23,-1.75,-5.88,2.94,0.04
-0.027489999999999997,-0.01697,-0.00162,-0.0089,-0.01121,-0.03,-1.0,0.25,-3.08,-11.27,3.43,0.05
-0.02853,-0.01275,0.00162,0.00112,-0.00674,-0.05,-0.99,0.23,-4.27,-11.55,3.78,0.06
-0.030619999999999998,-0.01169,0.0,-0.00112,-0.012329999999999999,-0.06,-0.98,0.23,-3.92,-10.99,3.57,0.07
-0.029580000000000002,-0.01275,0.004070000000000001,0.00112,-0.01121,-0.08,-0.98,0.23,-3.29,-11.83,4.27,0.08
-0.027489999999999997,-0.01486,-0.00162,0.00335,-0.012329999999999999,-0.1,-0.98,0.22,-4.06,-11.97,3.85,0.09
-0.0254,-0.01381,0.00489,0.0,-0.01121,-0.12,-0.96,0.21,-4.34,-10.43,3.36,0.1
-0.02226,-0.01697,0.0057,0.00784,-0.007859999999999999,-0.14,-0.97,0.18,-3.78,-9.1,2.87,0.11
-0.029580000000000002,-0.01275,-0.000811,0.0055899999999999995,-0.01121,-0.15,-0.98,0.19,-3.5,-5.74,2.03,0.12
-0.02853,-0.02221,0.0,0.00896,-0.007859999999999999,-0.16,-0.98,0.2,-4.27,-1.47,0.56,0.13
-0.029580000000000002,-0.01275,0.01063,0.00896,-0.007859999999999999,-0.14,-0.97,0.22,-3.78,0.98,-0.21,0.14
-0.02853,-0.01064,0.015590000000000001,0.015719999999999998,-0.00562,-0.12,-0.97,0.25,-3.08,1.26,-0.35,0.15
-0.029580000000000002,-0.021169999999999998,0.01892,0.01685,-0.00898,-0.1,-0.98,0.26,-3.43,0.98,-0.49,0.16
-0.02436,-0.01064,0.02479,0.00896,-0.00225,-0.09,-0.99,0.26,-4.2,0.14,-0.77,0.17
-0.02436,-0.01275,0.03582,0.025939999999999998,-0.00674,-0.08,-0.99,0.26,-4.55,-1.61,-0.63,0.18
-0.02121,-0.00214,0.04269,0.025939999999999998,-0.00337,-0.07,-0.99,0.26,-5.25,-3.36,-0.7,0.19
-0.02226,0.0042899999999999995,0.051379999999999995,0.0305,0.0,-0.07,-0.99,0.25,-6.23,-5.11,-0.77,0.2
-0.02121,0.0042899999999999995,0.05665,0.02936,0.0011300000000000001,-0.08,-0.98,0.24,-7.14,-6.86,-0.91,0.21
-0.017,0.00967,0.0593,0.037380000000000004,-0.00337,-0.08,-0.97,0.22,-7.42,-8.19,-0.7,0.22
-0.01595,0.00859,0.0745,0.04545,0.007909999999999999,-0.09,-0.97,0.21,-7.07,-8.61,-0.63,0.23
-0.017,0.01291,0.07722000000000001,0.03623,0.00225,-0.1,-0.99,0.21,-7.0,-8.96,-0.84,0.24
-0.01278,0.024880000000000003,0.09187999999999999,0.03853,0.011309999999999999,-0.1,-0.99,0.2,-7.42,-8.82,-1.54,0.25
-0.01278,0.029269999999999997,0.09746,0.044289999999999996,0.017,-0.11,-1.0,0.19,-7.63,-8.05,-2.24,0.26
-0.01278,0.036989999999999995,0.0956,0.04083,0.02271,-0.11,-1.0,0.18,-7.49,-5.95,-2.59,0.27
-0.01489,0.03478,0.10307999999999999,0.046610000000000006,0.01586,-0.09,-0.99,0.17,-7.91,-3.92,-3.15,0.28
-0.00534,0.03367,0.10497000000000001,0.04314,0.02731,-0.08,-0.98,0.18,-7.49,-1.61,-3.5,0.29
-0.00534,0.04032,0.11829,0.0559,0.02501,-0.06,-0.97,0.19,-6.65,-1.26,-3.36,0.3
-0.00853,0.042539999999999994,0.12699000000000002,0.05125,0.03191,-0.05,-0.98,0.2,-6.09,-2.03,-2.59,0.31
-0.00214,0.042539999999999994,0.12796,0.05474,0.03422,-0.04,-0.98,0.2,-6.23,-2.38,-2.52,0.32
-0.00747,0.03367,0.12505,0.05707,0.03885,-0.04,-0.98,0.19,-6.65,-2.45,-2.24,0.33
0.00214,0.03921,0.13875,0.05823,0.03885,-0.04,-0.97,0.18,-5.95,-2.1,-1.47,0.34
-0.00321,0.03921,0.13383,0.06292,0.0435,-0.04,-0.97,0.18,-5.18,-1.82,-0.7,0.35000000000000003
-0.00428,0.04032,0.13480999999999999,0.053570000000000007,0.047,-0.03,-0.98,0.18,-4.9,-1.33,-0.56,0.36
0.00107,0.05036,0.1457,0.0594,0.04816,-0.04,-0.98,0.18,-4.76,-1.33,-0.14,0.37
-0.00428,0.04477,0.14172,0.06761,0.04583,-0.04,-0.98,0.19,-4.69,-1.75,0.56,0.38
-0.006409999999999999,0.047,0.14271,0.060570000000000006,0.042339999999999996,-0.04,-0.98,0.19,-4.55,-2.45,1.26,0.39
-0.006409999999999999,0.04365,0.14172,0.061739999999999996,0.04467,-0.05,-0.98,0.19,-4.48,-3.08,1.47,0.4
-0.00534,0.048119999999999996,0.1437,0.060570000000000006,0.0435,-0.06,-0.99,0.19,-4.62,-3.5,1.47,0.41000000000000003
-0.006409999999999999,0.048119999999999996,0.1507,0.06292,0.04816,-0.07,-0.98,0.19,-4.97,-3.08,1.26,0.42
-0.00428,0.055979999999999995,0.14969000000000002,0.061739999999999996,0.040010000000000004,-0.08,-0.98,0.19,-5.11,-3.15,1.47,0.43
-0.00214,0.05372999999999999,0.15270999999999998,0.06644,0.0505,-0.08,-0.98,0.2,-4.83,-3.64,1.4,0.44
-0.00321,0.060489999999999995,0.15674000000000002,0.07232999999999999,0.05285,-0.09,-0.97,0.2,-4.9,-4.2,1.26,0.45
-0.00853,0.05936,0.15573,0.07468999999999999,0.04816,-0.1,-0.98,0.21,-5.81,-4.9,0.56,0.46
-0.00428,0.06617,0.17622000000000002,0.06997,0.04583,-0.11,-0.97,0.2,-6.58,-5.18,-0.35,0.47000000000000003
0.007520000000000001,0.07645,0.1783,0.07706,0.047,-0.12,-0.97,0.2,-5.74,-4.97,-0.35,0.48
0.0042899999999999995,0.0799,0.18457,0.08897000000000001,0.047,-0.14,-0.98,0.2,-5.11,-4.62,-0.7,0.49
0.0086,0.08452,0.18562,0.09376,0.0599,-0.14,-1.0,0.2,-5.95,-4.13,-1.89,0.5
0.018369999999999997,0.10672000000000001,0.20911,0.09977000000000001,0.05637,-0.14,-1.0,0.2,-7.56,-3.57,-4.06,0.51
0.018369999999999997,0.11264,0.22002,0.11189,0.061079999999999995,-0.14,-1.0,0.19,-8.4,-3.08,-4.9,0.52
0.02055,0.13785,0.23221,0.11189,0.06817000000000001,-0.14,-0.99,0.2,-8.82,-2.87,-6.16,0.53
0.03152,0.13664,0.25371,0.12904000000000002,0.07173,-0.14,-1.0,0.2,-9.17,-2.73,-7.21,0.54
0.03373,0.15745,0.2711,0.14142000000000002,0.08488,-0.14,-1.0,0.21,-10.01,-2.66,-8.4,0.55
0.03373,0.16364,0.27935,0.16022,0.08847999999999999,-0.14,-1.12,0.21,-10.78,-2.45,-9.59,0.56
0.058320000000000004,0.18749000000000002,0.31073,0.15895,0.10057999999999999,-0.13,-1.01,0.21,-10.92,-3.01,-10.71,0.5700000000000001
0.060579999999999995,0.19896,0.32063,0.18056,0.10545,-0.12,-1.02,0.2,-11.83,-4.41,-12.04,0.58
0.07082000000000001,0.21574000000000002,0.33445,0.18827,0.10545,-0.12,-1.02,0.2,-12.88,-5.6,-13.58,0.59
0.08927,0.23673000000000002,0.37199,0.2169,0.12385999999999998,-0.13,-1.01,0.18,-13.16,-5.88,-14.91,0.6
0.08927,0.25406999999999996,0.38532,0.23145,0.13502999999999998,-0.14,-1.01,0.17,-13.79,-5.88,-16.66,0.61
0.10447999999999999,0.284,0.3975,0.25424,0.14253,-0.14,-1.02,0.14,-14.77,-6.16,-18.62,0.62
0.1223,0.30345,0.42239,0.27466,0.15638,-0.13,-1.03,0.13,-15.19,-6.23,-21.21,0.63
0.13192,0.34331,0.4567,0.31218,0.17549,-0.12,-1.03,0.12,-16.17,-4.62,-24.01,0.64
0.15879000000000001,0.36964,0.47734,0.33203,0.19488,-0.11,-1.02,0.12,-16.17,-2.66,-25.2,0.65
0.17372,0.40565,0.5154,0.35361,0.20402,-0.09,-1.03,0.12,-15.82,-2.38,-26.39,0.66
0.19012,0.43178999999999995,0.52635,0.39031,0.22115,-0.07,-1.06,0.12,-15.61,-1.4,-29.47,0.67
0.21320999999999998,0.46326000000000006,0.59312,0.42338000000000003,0.25063,-0.05,-1.05,0.13,-18.41,-0.07,-34.37,0.68
0.23016999999999999,0.49878999999999996,0.63448,0.46188999999999997,0.2656,-0.03,-1.02,0.14,-21.14,1.12,-36.33,0.6900000000000001
0.25272,0.54376,0.7285,0.50783,0.28765999999999997,-0.02,-0.98,0.14,-20.23,1.96,-35.49,0.7000000000000001
0.27298,0.5798300000000001,0.78199,0.52725,0.29183000000000003,-0.02,-0.97,0.15,-17.85,2.59,-34.16,0.71
0.28256,0.61511,0.8192200000000001,0.56686,0.3143,-0.01,-0.99,0.16,-17.15,3.01,-34.44,0.72
0.30193000000000003,0.6623899999999999,0.87979,0.59724,0.32995,0.03,-1.03,0.17,-18.34,2.87,-37.31,0.73
0.31737,0.7094199999999999,0.93214,0.64395,0.33138,0.08,-1.07,0.16,-21.0,3.01,-42.28,0.74
0.34307,0.76803,1.00178,0.69026,0.34143,0.14,-1.07,0.15,-23.52,3.29,-47.81,0.75
0.36784,0.86067,1.0344,0.7268100000000001,0.36175999999999997,0.18,-1.06,0.16,-24.15,2.8,-52.22,0.76
0.38413,0.93696,1.1078299999999999,0.7813100000000001,0.39726,0.21,-1.05,0.17,-24.64,-1.47,-55.72,0.77
0.40063000000000004,1.0173,1.17735,0.83175,0.38979,0.25,-1.05,0.18,-24.5,-9.52,-58.45,0.78
0.42041999999999996,1.09951,1.27847,0.88374,0.42596999999999996,0.28,-1.06,0.19,-23.94,-18.55,-60.55,0.79
0.44051,1.1888,1.36806,0.9499799999999999,0.44438999999999995,0.29,-1.08,0.17,-24.29,-26.67,-62.16,0.8
0.45461,1.29996,1.46044,0.99054,0.47403,0.27,-1.09,0.14,-26.67,-31.78,-65.03,0.81
0.47845,1.40096,1.56314,1.06102,0.46931000000000006,0.25,-1.09,0.12,-28.49,-34.72,-67.34,0.8200000000000001
0.48973,1.45222,1.686,1.09047,0.4835,0.22,-1.09,0.09,-27.65,-34.79,-69.58,0.8300000000000001
0.5060100000000001,1.54966,1.8981700000000001,1.1532,0.48826,0.2,-1.07,0.08,-27.72,-32.9,-71.61,0.84
0.52582,1.6054,2.06738,1.23041,0.49145,0.2,-1.04,0.07,-29.33,-31.78,-73.5,0.85
0.551,1.70452,2.25525,1.2778100000000001,0.49623,0.21,-1.02,0.06,-30.73,-31.15,-74.9,0.86
0.54087,1.7435200000000002,2.38825,1.3342,0.50264,0.23,-1.0,0.05,-31.15,-33.25,-74.83,0.87
0.55779,1.77603,2.52472,1.38426,0.50746,0.26,-1.01,0.04,-29.75,-35.98,-73.99,0.88
0.56976,1.82397,2.67155,1.41927,0.51552,0.28,-1.02,0.02,-28.21,-37.45,-73.64,0.89
0.5818399999999999,1.8465,2.70079,1.45214,0.50907,0.27,-1.02,0.02,-29.05,-35.98,-73.85,0.9
0.59754,1.8352,2.70817,1.50532,0.50746,0.26,-1.02,0.02,-33.11,-33.88,-74.06,0.91
0.61341,1.91566,2.83783,1.51956,0.50746,0.25,-0.99,0.0,-35.63,-33.53,-74.41,0.92
0.6420899999999999,1.89621,2.95933,1.55703,0.5139100000000001,0.26,-0.97,-0.03,-33.74,-34.51,-72.8,0.93
0.6169600000000001,1.89621,2.84572,1.5716299999999999,0.50907,0.28,-0.96,-0.03,-31.92,-35.0,-71.82,0.9400000000000001
0.6240899999999999,1.8616599999999999,2.97607,1.61606,0.5171399999999999,0.29,-0.98,-0.05,-33.04,-34.79,-71.82,0.9500000000000001
0.62947,1.84273,2.97607,1.63109,0.51552,0.29,-0.99,-0.07,-34.58,-33.25,-72.73,0.96
0.6420899999999999,1.85028,3.02707,1.64622,0.50907,0.3,-0.98,-0.06,-35.35,-32.41,-73.22,0.97
0.6348600000000001,1.8616599999999999,3.04434,1.64622,0.51068,0.31,-0.98,-0.05,-34.86,-32.9,-72.73,0.98
0.64935,1.85407,3.03569,1.68609,0.50585,0.31,-0.99,-0.05,-35.14,-32.76,-72.87,0.99
0.62947,1.85407,3.0792900000000003,1.69229,0.50103,0.32,-1.0,-0.05,-36.33,-32.83,-73.92,1.0
0.6330600000000001,1.83145,3.1327700000000003,1.7425700000000002,0.5042399999999999,0.34,-1.01,-0.05,-37.87,-33.67,-74.41,1.01
0.64571,1.8165200000000001,3.2915699999999997,1.7713700000000001,0.48034,0.35,-1.02,-0.05,-38.5,-35.07,-74.9,1.02
0.6402800000000001,1.7833299999999999,3.23425,1.79405,0.4835,0.35,-1.04,-0.05,-39.41,-35.77,-76.65,1.03
0.65665,1.7833299999999999,3.22484,1.80057,0.47088,0.35,-1.04,-0.05,-40.74,-34.93,-79.17,1.04
0.63666,1.7723900000000001,3.20612,1.80057,0.45992,0.36,-1.04,-0.06,-43.33,-34.86,-81.41,1.05
0.6402800000000001,1.77968,3.36029,1.83348,0.45369,0.37,-1.03,-0.07,-44.59,-35.84,-83.65,1.06
0.66032,1.7579,3.26274,1.83348,0.45214,0.39,-1.02,-0.08,-44.87,-36.75,-85.68,1.07
0.65482,1.76152,3.3207800000000005,1.8568200000000001,0.43056000000000005,0.41,-1.03,-0.08,-44.17,-36.75,-87.64,1.08
0.67137,1.74711,3.49347,1.88041,0.42291999999999996,0.4,-1.04,-0.08,-44.38,-35.56,-91.21,1.09
0.6439,1.7257,3.39037,1.8736400000000002,0.41988000000000003,0.4,-1.03,-0.09,-47.53,-34.58,-94.08,1.1
0.65482,1.7507,3.4620699999999998,1.91799,0.41079,0.42,-1.01,-0.11,-49.21,-35.28,-96.95,1.11
0.65482,1.73637,3.5040199999999997,1.9457200000000001,0.40776999999999997,0.44,-0.98,-0.12,-48.58,-36.75,-98.91,1.12
0.6439,1.7080400000000002,3.36029,1.91799,0.40025,0.47,-0.96,-0.11,-46.48,-36.96,-99.61,1.1300000000000001
0.65482,1.73281,3.53597,1.96324,0.39427,0.5,-0.95,-0.11,-47.81,-38.5,-100.59,1.1400000000000001
0.6420899999999999,1.71508,3.5040199999999997,1.9738099999999998,0.39128,0.5,-0.93,-0.13,-49.77,-39.76,-101.78,1.1500000000000001
0.64935,1.7507,3.56835,1.99154,0.38088,0.49,-0.88,-0.15,-51.17,-41.09,-102.55,1.16
0.653,1.7257,3.53597,2.00583,0.37792,0.5,-0.84,-0.18,-50.26,-42.07,-101.64,1.17
0.6439,1.72215,3.5467199999999997,2.03831,0.38236,0.51,-0.81,-0.19,-47.18,-42.56,-100.17,1.18
0.6402800000000001,1.74711,3.53597,2.0419400000000003,0.3735,0.53,-0.78,-0.19,-45.99,-43.26,-98.0,1.19
0.65665,1.77603,3.5467199999999997,2.03105,0.3603,0.56,-0.75,-0.2,-45.57,-46.48,-94.5,1.2
0.64571,1.79433,3.5146300000000004,2.0638900000000002,0.36761,0.57,-0.74,-0.24,-44.66,-47.81,-91.0,1.21
0.6330600000000001,1.79433,3.53597,2.0638900000000002,0.3603,0.55,-0.74,-0.25,-42.63,-44.24,-89.46,1.22
0.6348600000000001,1.7980099999999999,3.5252800000000004,2.0749400000000002,0.35156,0.52,-0.72,-0.24,-42.56,-40.25,-88.13,1.23
0.64571,1.8352,3.6011599999999997,2.0749400000000002,0.34143,0.51,-0.67,-0.25,-42.07,-40.04,-85.47,1.24
0.63126,1.8692900000000001,3.5252800000000004,2.10468,0.34865999999999997,0.5,-0.62,-0.28,-40.46,-40.6,-82.46,1.25
0.64571,1.90008,3.5901699999999996,2.11592,0.33281,0.5,-0.58,-0.31,-35.84,-38.43,-77.98,1.26
0.62947,1.92743,3.6681,2.13859,0.33712,0.5,-0.54,-0.32,-32.76,-33.88,-73.64,1.27
0.62588,1.9313599999999997,3.56835,2.16531,0.32566,0.49,-0.51,-0.32,-29.75,-28.63,-69.02,1.28
0.62588,1.9471900000000002,3.6011599999999997,2.15382,0.33712,0.48,-0.46,-0.33,-27.72,-23.24,-63.07,1.29
0.6169600000000001,1.9392599999999998,3.2819199999999995,2.18072,0.33568000000000003,0.47,-0.42,-0.36,-23.87,-16.52,-55.58,1.3
0.62231,1.9631299999999998,3.61219,2.18072,0.32566,0.48,-0.38,-0.36,-20.37,-10.15,-47.39,1.31
0.62588,1.9432200000000002,3.6232699999999998,2.18846,0.32566,0.49,-0.37,-0.35,-15.05,-3.36,-38.99,1.32
0.59929,1.88078,3.45169,2.18846,0.33281,0.52,-0.35,-0.32,-10.36,0.98,-29.19,1.33
0.60105,1.8923400000000001,3.53597,2.20792,0.33281,0.56,-0.33,-0.27,-5.74,2.24,-18.69,1.34
0.57493,1.8616599999999999,3.44136,2.18072,0.32424000000000003,0.58,-0.32,-0.23,17.01,-0.63,-7.21,1.35
0.58011,1.8654700000000002,3.4620699999999998,2.10842,0.30865,0.6,-0.32,-0.2,2.73,-7.21,5.46,1.36
0.57665,1.83145,3.2819199999999995,2.07864,0.3143,0.57,-0.33,-0.21,6.51,-12.46,18.27,1.37
0.57493,1.83145,3.3012699999999997,2.0749400000000002,0.29602,0.53,-0.35,-0.25,10.5,-14.63,29.75,1.3800000000000001
0.58358,1.8654700000000002,3.34045,2.07125,0.30441999999999997,0.51,-0.38,-0.28,14.07,-10.78,39.48,1.3900000000000001
0.59929,1.88463,3.4106300000000003,2.0749400000000002,0.29462,0.49,-0.39,-0.29,16.24,-5.6,47.81,1.4000000000000001
0.59929,1.91176,3.44136,2.12345,0.30583,0.48,-0.39,-0.3,19.39,-1.82,56.28,1.41
0.6028100000000001,1.9313599999999997,3.4004800000000004,2.13859,0.30021,0.47,-0.41,-0.31,23.52,5.32,64.75,1.42
0.61341,1.95514,3.6681,2.18458,0.29462,0.46,-0.44,-0.3,27.65,15.12,72.59,1.43
0.59754,1.89621,3.6908300000000005,2.1196900000000003,0.28905,0.45,-0.48,-0.29,31.22,23.1,78.12,1.44
0.6240899999999999,1.97518,3.8195699999999997,2.1576400000000002,0.29183000000000003,0.45,-0.51,-0.28,33.32,27.72,83.3,1.45
0.6151800000000001,1.9872900000000002,3.86803,2.15382,0.29183000000000003,0.46,-0.54,-0.29,35.35,33.04,87.99,1.46
0.6151800000000001,1.99541,3.88029,2.13859,0.30301999999999996,0.48,-0.57,-0.29,37.8,40.46,92.05,1.47
